,block_ts,block_height,side,price,gas,gas_price,gas_value,base_volume,quote_volume,maker_address,taker_address
2023-01-02 01:03:11+00:00,2023-01-02T01:03:11Z,16315677,SELL,16605.46859594536,117675,24.097789952,0.0028357074326016,0.02408845,400.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x1c2339e3294a9a24d0d6eafb758fcd3ad2547dc9
2023-01-02 03:53:47+00:00,2023-01-02T03:53:47Z,16316529,SELL,16626.744129774295,126637,15.189261312,0.001923522484767744,1.41360195,23503.597924,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-02 03:54:35+00:00,2023-01-02T03:54:35Z,16316533,SELL,16657.128209309532,127359,16.64072704,0.00211934635508736,0.63579369,10590.497009,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-02 05:59:35+00:00,2023-01-02T05:59:35Z,16317154,BUY,16566.637221527988,196274,15.396061184,0.003021846512828416,0.00556968,92.270868,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0
2023-01-02 07:15:47+00:00,2023-01-02T07:15:47Z,16317533,SELL,16690.58147179102,125645,13.879590912,0.00174390120013824,1.62436186,27111.543964,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-02 07:25:35+00:00,2023-01-02T07:25:35Z,16317582,SELL,16715.2463817426,266623,13.880889344,0.003700964359565312,0.03033159,507.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-02 07:41:23+00:00,2023-01-02T07:41:23Z,16317661,SELL,16716.65315483559,641852,12.0,0.007702224,0.06404264,1070.5786,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d
2023-01-02 07:41:47+00:00,2023-01-02T07:41:47Z,16317663,SELL,16721.65097164491,1784464,12.0,0.021413568,0.27064208,4525.5824,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d
2023-01-02 08:09:35+00:00,2023-01-02T08:09:35Z,16317802,BUY,16625.18847548599,203348,13.18544384,0.00268123363397632,0.02029309,337.376446,0xe592427a0aece92de3edee1f18e0157c05861564,0x944a0edee8a14a0163cc39fdec7d86d464d2aa8e
2023-01-02 09:33:11+00:00,2023-01-02T09:33:11Z,16318217,SELL,16725.204883759827,361939,13.82185984,0.00500267012862976,0.005979,100.0,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d
2023-01-02 12:41:35+00:00,2023-01-02T12:41:35Z,16319154,SELL,16725.94054717409,276309,14.913746944,0.004120802504349696,0.0449802,752.336151,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-02 14:14:11+00:00,2023-01-02T14:14:11Z,16319615,SELL,16727.07744890172,514268,15.447605248,0.007944209055678464,0.03109547,520.136335,0xf65f4ab80491fb8db2ecd1ffc63e779261bf0b36,0xf65f4ab80491fb8db2ecd1ffc63e779261bf0b36
2023-01-02 15:22:47+00:00,2023-01-02T15:22:47Z,16319958,BUY,16627.19312453557,228883,17.08864512,0.00391130036100096,0.00808789,134.478909,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x7b3b0810f7b565194b86a79ef27d0975473a5f54
2023-01-02 16:43:47+00:00,2023-01-02T16:43:47Z,16320360,BUY,16626.316326993783,281178,18.240077824,0.005128708602396672,0.05199316,864.454725,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xe66b31678d6c16e9ebf358268a790b763c133750
2023-01-02 18:04:47+00:00,2023-01-02T18:04:47Z,16320763,SELL,16726.82282642604,503324,17.935142912,0.009027187871039488,0.07174106,1200.0,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20
2023-01-02 18:14:47+00:00,2023-01-02T18:14:47Z,16320813,SELL,16728.09553107747,188077,17.000385536,0.003197381510454272,0.01342516,224.577359,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-02 18:34:11+00:00,2023-01-02T18:34:11Z,16320908,SELL,16728.653297405763,198578,23.673884672,0.004701112670396416,0.02391107,400.0,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582
2023-01-02 19:13:59+00:00,2023-01-02T19:13:59Z,16321107,SELL,16733.459164127657,395180,28.78946304,0.0113770200041472,0.29756362,4979.268684,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20
2023-01-03 01:22:47+00:00,2023-01-03T01:22:47Z,16322944,BUY,16626.501530115343,699759,12.811280384,0.008964808750227456,0.75135839,12492.461421,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-03 06:03:35+00:00,2023-01-03T06:03:35Z,16324343,SELL,16723.57188154805,127369,14.514941952,0.001848753641484288,0.53900606,9014.106589,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-03 06:30:11+00:00,2023-01-03T06:30:11Z,16324476,SELL,16737.791262568,127339,13.34053376,0.00169877022846464,0.41232298,6901.375972,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-03 08:11:59+00:00,2023-01-03T08:11:59Z,16324981,SELL,16744.671451259608,276199,14.793133056,0.004085848556934144,0.04748854,795.18,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-03 09:18:59+00:00,2023-01-03T09:18:59Z,16325315,BUY,16644.93405209365,206388,19.306457088,0.003984621065478144,0.00586751,97.664317,0x0eae044f00b0af300500f090ea00027097d03000,0x0eae044f00b0af300500f090ea00027097d03000
2023-01-03 10:21:47+00:00,2023-01-03T10:21:47Z,16325629,BUY,16643.326800663974,274556,15.453642752,0.004242890339418112,0.10504639,1748.321398,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x0af5324fa188fe4928c5740e96ddde6f4b507f31
2023-01-03 10:30:35+00:00,2023-01-03T10:30:35Z,16325672,BUY,16634.211190917256,291612,14.902501376,0.004345748231258112,0.50992174,8482.145914,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x18b45d160249ff1152f08bb94a5d3985e1fc0ae4
2023-01-03 14:34:35+00:00,2023-01-03T14:34:35Z,16326887,SELL,16727.18614846428,199513,25.284816896,0.005044649673371648,0.02099926,351.258531,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-03 14:53:23+00:00,2023-01-03T14:53:23Z,16326980,SELL,16730.175341718015,276213,21.133621248,0.005837380925773824,0.17931671,3000.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-03 15:01:59+00:00,2023-01-03T15:01:59Z,16327022,SELL,16735.5369134705,277197,30.645633024,0.008494877537353729,0.17926464,3000.09,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-03 15:19:23+00:00,2023-01-03T15:19:23Z,16327109,BUY,16624.816398703482,125872,29.276698624,0.003685116609200128,0.8859115,14728.116033,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-03 16:25:47+00:00,2023-01-03T16:25:47Z,16327441,BUY,16609.027064339243,541340,21.29782784,0.0115293661229056,0.181087,3007.678884,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57
2023-01-03 16:58:59+00:00,2023-01-03T16:58:59Z,16327605,BUY,16598.228706844293,125847,19.336030208,0.002433381393586176,0.54975259,9124.919221,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-03 18:11:23+00:00,2023-01-03T18:11:23Z,16327964,SELL,16690.683545178137,232615,34.101192704,0.00793244894084096,0.03879963,647.592346,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582
2023-01-03 21:22:59+00:00,2023-01-03T21:22:59Z,16328918,BUY,16589.92352377054,149775,22.949789696,0.0034373047517184,0.09041633,1500.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x8e544b00b2d7f205b31a0727635f064ed42d59a8
2023-01-03 23:38:11+00:00,2023-01-03T23:38:11Z,16329591,SELL,16689.472629699685,198541,16.787119104,0.003332931414027264,0.06029236,1006.247692,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582
2023-01-04 00:25:11+00:00,2023-01-04T00:25:11Z,16329825,BUY,16590.289811771738,110751,14.436015104,0.001598803108783104,0.00190779,31.650789,0x1111111254fb6c44bac0bed2854e76f90643097d,0xafb3a45ca511b05851bccd3c3d07876ebe1912b2
2023-01-04 01:11:47+00:00,2023-01-04T01:11:47Z,16330058,SELL,16691.562927609528,203357,17.337032704,0.003525606959587328,0.08387471,1400.0,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582
2023-01-04 01:20:47+00:00,2023-01-04T01:20:47Z,16330102,SELL,16734.694899257393,433088,32.0,0.013858816,0.2941258,4922.105525,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff
2023-01-04 01:20:47+00:00,2023-01-04T01:20:47Z,16330102,SELL,16711.54193483711,249528,25.16175872,0.00627856332988416,1.25419457,20959.525151,0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f,0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f
2023-01-04 03:07:11+00:00,2023-01-04T03:07:11Z,16330631,SELL,16759.00756434046,156010,50.858000384,0.00793435663990784,1.32761211,22249.461394,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-04 03:07:23+00:00,2023-01-04T03:07:23Z,16330632,SELL,16812.737701686645,272253,54.992535552,0.014971882781638655,2.24407642,37729.068232,0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f,0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f
2023-01-04 04:01:47+00:00,2023-01-04T04:01:47Z,16330900,SELL,16853.302606213747,167520,15.178999808,0.00254278604783616,0.45188312,7615.722964,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e
2023-01-04 04:02:23+00:00,2023-01-04T04:02:23Z,16330903,SELL,16860.108309335777,299306,16.735135744,0.005008926538993664,0.00593116,100.0,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564
2023-01-04 04:04:11+00:00,2023-01-04T04:04:11Z,16330912,SELL,16866.152233730638,1423683,16.780588032,0.023890237911161856,0.40324401,6801.17486,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57
2023-01-04 05:06:23+00:00,2023-01-04T05:06:23Z,16331222,SELL,16872.226627748063,244029,22.496411648,0.005489776838049792,0.0059269,100.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-04 06:41:23+00:00,2023-01-04T06:41:23Z,16331697,BUY,16770.20625415835,575904,15.711676416,0.009048417294680065,7.515e-05,1.260281,0x03f911aedc25c770e701b8f563e8102cfacd62c0,0x3b3ae790df4f312e745d270119c6052904fb6790
2023-01-04 08:21:47+00:00,2023-01-04T08:21:47Z,16332198,SELL,16879.42931241291,628155,13.504119808,0.00848268037799424,0.47977108,8098.262031,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-04 08:30:59+00:00,2023-01-04T08:30:59Z,16332244,SELL,16886.614824759155,155599,15.683055616,0.002440267770793984,0.00236874,40.0,0x17096bc3fc2a35565897d9e81f4cde57e62167bc,0x6e9ff848d2c695b95c7fd8e9907e817270eb303e
2023-01-04 09:37:47+00:00,2023-01-04T09:37:47Z,16332577,SELL,16738.405946727235,496495,19.000000512,0.00943340525420544,9.686e-05,1.621282,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d,0x4fe5b965e3bd76eff36280471030ef9b0e6e2c1d
2023-01-04 13:34:23+00:00,2023-01-04T13:34:23Z,16333753,BUY,16783.922748430614,296355,15.508830208,0.00459611937629184,0.10412837,1747.682518,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x5c76fd726a0aa533c1c60ab9502f001beea1e19a
2023-01-04 13:36:47+00:00,2023-01-04T13:36:47Z,16333765,BUY,16780.570370502195,273475,16.287904768,0.0044543347564288,0.1236214,2074.437602,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x5c76fd726a0aa533c1c60ab9502f001beea1e19a
2023-01-04 13:46:35+00:00,2023-01-04T13:46:35Z,16333814,SELL,16880.410171459953,206191,15.056969728,0.003104611645186048,0.03554416,600.0,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582
2023-01-04 14:20:47+00:00,2023-01-04T14:20:47Z,16333984,SELL,17009.406201629503,123978,14.828478464,0.001838405103009792,0.00058791,10.0,0x1111111254fb6c44bac0bed2854e76f90643097d,0xbe5c3dac9c6fa5a0f94fc5d67fb2cc9215d3cf5f
2023-01-04 14:44:59+00:00,2023-01-04T14:44:59Z,16334104,BUY,16778.191378741754,352547,18.328983552,0.006461828164306944,0.10934506,1834.612343,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x5cf04a4d435d131f1c3ab35699661a13ea78b38d
2023-01-04 14:45:59+00:00,2023-01-04T14:45:59Z,16334109,SELL,16881.216376045977,203066,17.84999936,0.00362472797003776,0.23694975,4000.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-04 15:06:47+00:00,2023-01-04T15:06:47Z,16334213,BUY,16772.668124006923,289309,33.6,0.0097207824,0.74160215,12438.646742,0xe592427a0aece92de3edee1f18e0157c05861564,0xcafa54978a8f33dcd4f8cff442271725646a7bf4
2023-01-04 15:56:59+00:00,2023-01-04T15:56:59Z,16334462,SELL,16863.23449753416,207389,22.418937856,0.004649441103017984,0.0296856,500.595234,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-04 16:11:47+00:00,2023-01-04T16:11:47Z,16334536,SELL,16864.288015056438,235721,54.999998464,0.012964654637932544,0.04150783,700.0,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20
2023-01-04 16:36:35+00:00,2023-01-04T16:36:35Z,16334659,SELL,16870.46421153728,547050,34.698350592,0.0189817326913536,0.37503441,6327.004592,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x7b3b0810f7b565194b86a79ef27d0975473a5f54
2023-01-04 17:33:11+00:00,2023-01-04T17:33:11Z,16334940,SELL,16893.320869903713,126562,23.118084096,0.002925870959357952,1.16376742,19659.896444,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-04 17:33:23+00:00,2023-01-04T17:33:23Z,16334941,SELL,16941.312709520465,278993,24.664721408,0.006881284619782144,2.05703056,34848.79797,0x0352086e5ce73fc2ec4c41fef56361f7def6ea91,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
2023-01-04 17:52:11+00:00,2023-01-04T17:52:11Z,16335035,BUY,16869.148170923072,202663,24.895434752,0.005045383493144576,0.08236805,1389.47884,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xaa54889952337e9a73c8633670e08d8e0027190d
2023-01-04 18:22:47+00:00,2023-01-04T18:22:47Z,16335188,BUY,16865.07288760623,584858,19.963244544,0.011675663277514752,0.19245453,3245.759676,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57
2023-01-04 18:51:59+00:00,2023-01-04T18:51:59Z,16335334,BUY,16861.84756508425,125817,21.793603584,0.002742005822128128,0.02496226,420.909823,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xf368d43f148e1803ec793670183b0ca6a07d3898
2023-01-04 19:15:59+00:00,2023-01-04T19:15:59Z,16335454,BUY,16860.59386523069,125845,27.493564416,0.00345992761393152,0.05962767,1005.357927,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x0406ae4f5c0290efaf6481acc3f27eaa9f89ba39
2023-01-04 19:25:23+00:00,2023-01-04T19:25:23Z,16335501,BUY,16852.26014667527,126804,19.843076096,0.002516181421277184,0.50298594,8476.449911,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c
2023-01-04 19:29:23+00:00,2023-01-04T19:29:23Z,16335521,BUY,16836.005941238112,123699,21.549699072,0.002665676225507328,0.59520927,10020.946806,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e
2023-01-04 19:30:11+00:00,2023-01-04T19:30:11Z,16335525,BUY,16819.818722,210304,21.926651904,0.004611262602018816,0.5,8409.909361,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-04 19:32:59+00:00,2023-01-04T19:32:59Z,16335539,BUY,16805.615943698558,196743,23.109259264,0.004546584995377152,0.46223754,7768.186572,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x2cb17e673d8816f060af5046495333a36d0b9a20
2023-01-04 20:45:47+00:00,2023-01-04T20:45:47Z,16335903,BUY,16797.09345242138,196719,19.63478016,0.00386253431829504,0.11571942,1943.749912,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xfe74c87a5e4c6dd4be700e63821644e4a137885e
2023-01-04 20:48:35+00:00,2023-01-04T20:48:35Z,16335917,BUY,16791.000843231763,214807,21.086009344,0.004529422409156608,0.2977829,5000.072925,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xca3e479651841e722243f6198e9cd4cada59fc53
2023-01-04 20:54:59+00:00,2023-01-04T20:54:59Z,16335948,BUY,16785.349376461032,574021,35.000000512,0.02009073529389875,0.08585109,1441.04054,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20
2023-01-04 20:55:35+00:00,2023-01-04T20:55:35Z,16335951,BUY,16775.68160798564,197781,20.188393472,0.003992880649285632,0.57118719,9582.054438,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xd68f7e162ba2697684e544a424a0ca6886d82345
2023-01-04 21:00:59+00:00,2023-01-04T21:00:59Z,16335977,BUY,16767.047721650306,192184,39.261847552,0.007545498909933568,0.01553844,260.533765,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x13f537673182806fc75369e345b9df280440cbb9
2023-01-04 23:13:11+00:00,2023-01-04T23:13:11Z,16336637,SELL,16868.28369439668,121807,24.894230528,0.003032291537924096,0.02721083,459.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x1ee0f1b8b7f300d758cff129c7a99385da07ff40
2023-01-04 23:16:23+00:00,2023-01-04T23:16:23Z,16336652,BUY,16976.377688976096,105564,25.681195008,0.002711009669824512,0.00041791,7.094598,0x1111111254fb6c44bac0bed2854e76f90643097d,0xbe5c3dac9c6fa5a0f94fc5d67fb2cc9215d3cf5f
2023-01-05 00:15:47+00:00,2023-01-05T00:15:47Z,16336947,BUY,16633.555555555555,210318,19.779147776,0.004159910801952768,0.00045,7.4851,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x5b1e45ca08fa4d65aa7fdcf9e116990fb7fce73b
2023-01-05 00:16:11+00:00,2023-01-05T00:16:11Z,16336949,SELL,16869.823503173302,360035,18.020048896,0.00648784830427136,0.07658268,1291.936295,0x9878644ad744a970d3598594f1cdbb1389c17826,0x9878644ad744a970d3598594f1cdbb1389c17826
2023-01-05 00:16:47+00:00,2023-01-05T00:16:47Z,16336952,SELL,16633.421106980586,288592,19.726833664,0.005693006380761088,0.00019368,3.221561,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbb2b8038a1640196fbe3e38816f3e67cba72d940
2023-01-05 00:17:47+00:00,2023-01-05T00:17:47Z,16336957,BUY,16477.76833093905,227267,21.726078976,0.004937620790638592,0.00034109,5.620402,0x1111111254eeb25477b68fb85ed929f73a960582,0x64b91b92240bc1901855dd55ae632addb650d089
2023-01-05 00:21:47+00:00,2023-01-05T00:21:47Z,16336977,SELL,16877.643127743504,212942,19.889313792,0.004235270257496064,0.45029984,7600.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-05 00:41:35+00:00,2023-01-05T00:41:35Z,16337076,SELL,16884.39701774011,171764,23.787124736,0.004085771693154304,0.00341486,57.657852,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x00000000009726632680fb29d3f7a9734e3010e2
2023-01-05 01:31:59+00:00,2023-01-05T01:31:59Z,16337326,SELL,16885.4426198614,226943,31.016378368,0.007038949955969024,0.06813307,1150.457044,0x0eae044f00b0af300500f090ea00027097d03000,0x0eae044f00b0af300500f090ea00027097d03000
2023-01-05 01:33:59+00:00,2023-01-05T01:33:59Z,16337336,SELL,16887.336304716446,207623,16.849334272,0.003498309329555456,0.05921597,1000.0,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582
2023-01-05 01:33:59+00:00,2023-01-05T01:33:59Z,16337336,SELL,16889.09606180058,226031,16.835607552,0.003805369210586112,0.0592098,1000.0,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20
2023-01-05 04:45:47+00:00,2023-01-05T04:45:47Z,16338287,SELL,16678.12645901421,434144,17.231958016,0.007481151180898304,0.00059972,10.002206,0x50d148d0908c602a56884b8628a36470a875eeb2,0xac716e87b0853c0712674e8e3a8435a489f276b4
2023-01-05 04:54:59+00:00,2023-01-05T04:54:59Z,16338333,BUY,16786.701353784065,361893,16.116790272,0.005832553581904896,0.95997215,16114.76579,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x19e0025d076a7981bf626bffc39b0404862db448
2023-01-05 05:15:35+00:00,2023-01-05T05:15:35Z,16338436,SELL,16891.62605916963,302868,16.524087296,0.005004617271164928,0.39341668,6645.447444,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-05 06:15:11+00:00,2023-01-05T06:15:11Z,16338734,SELL,16901.875418574946,199144,17.84999936,0.00355472027254784,0.29582516,5000.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2023-01-05 06:18:11+00:00,2023-01-05T06:18:11Z,16338749,BUY,16804.185753881397,197796,21.6,0.0042723936,0.05445399,915.054963,0xe592427a0aece92de3edee1f18e0157c05861564,0x0d451aee2d806bb74436ee62ba0dd633837e2145
2023-01-05 06:36:47+00:00,2023-01-05T06:36:47Z,16338842,BUY,16802.576851211023,197689,16.777132032,0.003316654454274048,0.05467448,918.672152,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x90ba17d33db6c6d777a0d3456f32c2a793a03925
2023-01-05 06:37:11+00:00,2023-01-05T06:37:11Z,16338844,BUY,16801.656445658995,192424,16.412106752,0.003158083229646848,0.00607083,102.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x915bf29caa991f53d6c1b6a0c595f24055d853c2
2023-01-05 06:39:11+00:00,2023-01-05T06:39:11Z,16338854,BUY,16800.49627551449,196767,14.470933504,0.002847402172781568,0.07440625,1250.061926,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x6e58bdee94a421f967ad93a0c937681e9c75aafc
2023-01-05 06:39:35+00:00,2023-01-05T06:39:35Z,16338856,BUY,16799.27664291161,191514,16.56444416,0.00317232295885824,0.00607169,102.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x0d8419d0973b092f61d698a785024911de652b0b
2023-01-05 06:40:59+00:00,2023-01-05T06:40:59Z,16338863,BUY,16799.110635319306,191514,16.119840768,0.003087175184842752,0.00607175,102.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x9c0a48b39398b24a6d0294dad4f6d49b24074c6d
2023-01-05 06:50:23+00:00,2023-01-05T06:50:23Z,16338910,BUY,16798.916963941618,191508,17.141208064,0.003282678473920512,0.00607182,102.0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xe5ea1bcebc03a7f6ac37d22bb8133dd825def47c
2023-01-05 07:03:23+00:00,2023-01-05T07:03:23Z,16338975,BUY,16784.12319081463,136476,14.917485568,0.002035878760378368,1.00072526,16796.296044,0x1111111254fb6c44bac0bed2854e76f90643097d,0x5fed8aaa21b1bfdb91fe8854d2554a88bb97376b
2023-01-05 07:31:59+00:00,2023-01-05T07:31:59Z,16339117,BUY,16769.318515470208,299231,16.8,0.0050270808,0.00432541,72.534178,0xe592427a0aece92de3edee1f18e0157c05861564,0x662e76fa14754e3763826a761bd8ce9546f51479
2023-01-05 07:35:35+00:00,2023-01-05T07:35:35Z,16339135,BUY,16769.17926178496,419858,15.719519232,0.006599965905709056,0.00518521,86.951716,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff
2023-01-05 08:09:59+00:00,2023-01-05T08:09:59Z,16339307,BUY,16767.51986429783,197800,19.2,0.00379776,0.1086497,1821.786003,0xe592427a0aece92de3edee1f18e0157c05861564,0x0d451aee2d806bb74436ee62ba0dd633837e2145
2023-01-05 09:40:47+00:00,2023-01-05T09:40:47Z,16339757,BUY,16765.4976362849,421079,16.86618112,0.00710199467982848,0.02881904,483.165547,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x74de5d4fcbf63e00296fd95d33236b9794016631
2023-01-05 09:50:11+00:00,2023-01-05T09:50:11Z,16339804,BUY,16756.449070215538,1198740,17.610795008,0.02111076440788992,0.58725008,9840.226057,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57
2023-01-05 10:28:23+00:00,2023-01-05T10:28:23Z,16339994,BUY,16747.475211449677,201635,16.8,0.003387468,0.02379526,398.510527,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xd6c7742c39adde92eb7a632f074e5fd1b2c33b4b
2023-01-05 11:55:35+00:00,2023-01-05T11:55:35Z,16340428,SELL,16849.824256333006,209940,35.950534656,0.00754745524568064,0.1186956,2000.0,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d
